,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,Forest_Cover,Neota,Rawah,Comanche Peak,Cache la Poudre
0,3351.0,,27.0,726.0,124.0,3813.0,192.0,252.0,,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,Spruce/Fir,0,1,0,0
1,2732.0,129.0,7.0,212.0,1.0,1082.0,231.0,236.0,137.0,912.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,Lodgepole Pine,0,0,1,0
2,2572.0,24.0,9.0,201.0,689.0,957.0,216.0,222.0,,2191.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Lodgepole Pine,0,0,1,0
3,2824.0,69.0,13.0,417.0,39.0,3223.0,,214.0,,6478.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Lodgepole Pine,0,1,0,0
4,2529.0,84.0,5.0,120.0,9.0,1092.0,,231.0,139.0,4983.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,Lodgepole Pine,0,1,0,0
5,2050.0,284.0,42.0,,141.0,192.0,75.0,201.0,246.0,255.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,1,0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,Ponderosa Pine,0,0,0,1
6,3004.0,236.0,5.0,960.0,95.0,5814.0,211.0,244.0,,,,0.0,,,,0.0,0,0,0,0,0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,Lodgepole Pine,0,1,0,0
7,3232.0,111.0,10.0,,78.0,1342.0,,229.0,122.0,2270.0,,0.0,0.0,0.0,0.0,,0,0,0,0,0,,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,Spruce/Fir,0,1,0,0
8,3141.0,156.0,6.0,503.0,72.0,,228.0,241.0,147.0,1354.0,0.0,,0.0,,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,Lodgepole Pine,0,1,0,0
9,,,,30.0,3.0,630.0,,225.0,141.0,300.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,,,,0.0,,Lodgepole Pine,0,1,0,0
10,2860.0,156.0,15.0,228.0,98.0,3961.0,-132.0,241.0,,5433.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,Lodgepole Pine,0,1,0,0
11,3176.0,144.0,17.0,67.0,19.0,,242.0,234.0,115.0,3172.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,Spruce/Fir,0,0,1,0
12,2712.0,288.0,9.0,30.0,6.0,-20985.0,195.0,239.0,,713.0,,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,Aspen,0,0,1,0
13,2918.0,351.0,12.0,67.0,11.0,2832.0,,219.0,669.0,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Lodgepole Pine,0,0,1,0
14,2908.0,,14.0,127.0,18.0,1932.0,,218.0,166.0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,Lodgepole Pine,0,0,1,0
15,,21.0,14.0,150.0,20.0,5622.0,210.0,209.0,133.0,,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,Spruce/Fir,0,1,0,0
